Customer_ID,Name,Email,Phone,Join_Date,Last_Purchase_Date,Total_Spent
CUST00000,Customer_0,cust0@mail.com,9786579303,2022-11-24,2023-03-28,38079.47
CUST00001,Customer_1,cust1@mail.com,9219540831,2022-07-11,2023-10-23,95120.72
CUST00002,Customer_2,cust2@mail.com,9126855092,2022-01-24,2024-01-27,73467.4
CUST00003,Customer_3,cust3@mail.com,9896233790,2023-07-07,2023-03-23,60267.19
CUST00004,Customer_4,cust4@mail.com,9395310485,2022-02-09,2023-09-08,16445.85
CUST00005,Customer_5,cust5@mail.com,9362950628,2023-04-19,2024-02-07,16443.46
CUST00006,Customer_6,cust6@mail.com,9339670711,2021-12-20,2024-01-26,6750.28
CUST00007,Customer_7,cust7@mail.com,9249827706,2023-09-05,2024-02-04,86751.44
CUST00008,Customer_8,cust8@mail.com,9890779946,2023-03-03,2023-02-15,60510.39
CUST00009,Customer_9,cust9@mail.com,9210053353,2023-04-04,2023-03-08,71099.19
CUST00010,Customer_10,cust10@mail.com,9826600539,2021-05-30,2023-11-11,3037.86
CUST00011,Customer_11,cust11@mail.com,9895285932,2021-10-25,2023-08-11,97021.08
CUST00012,Customer_12,cust12@mail.com,9685582861,2021-02-13,2023-11-21,83411.82
CUST00013,Customer_13,cust13@mail.com,9193349856,2021-10-22,2023-08-08,22021.57
CUST00014,Customer_14,cust14@mail.com,9734036506,2023-09-06,2023-07-26,19000.67
CUST00015,Customer_15,cust15@mail.com,9553035110,2023-01-02,2023-08-08,19157.05
CUST00016,Customer_16,cust16@mail.com,9134126396,2021-03-22,2024-05-09,31119.98
CUST00017,Customer_17,cust17@mail.com,9131994523,2021-12-21,2023-09-02,52950.89
CUST00018,Customer_18,cust18@mail.com,9200604502,2023-08-05,2023-07-16,43762.56
CUST00019,Customer_19,cust19@mail.com,9334760738,2022-03-29,2023-01-03,29831.68
CUST00020,Customer_20,cust20@mail.com,9349817734,2022-11-03,2023-01-20,61573.44
CUST00021,Customer_21,cust21@mail.com,9642621108,2021-09-20,2023-10-01,14809.89
CUST00022,Customer_22,cust22@mail.com,9746412689,2023-02-05,2023-04-13,29922.32
CUST00023,Customer_23,cust23@mail.com,9128492780,2022-05-06,2024-01-10,37269.82
CUST00024,Customer_24,cust24@mail.com,9702632297,2021-08-08,2023-07-11,46150.93
CUST00025,Customer_25,cust25@mail.com,9313500298,2021-07-26,2024-05-01,78732.42
CUST00026,Customer_26,cust26@mail.com,9868820204,2023-04-28,2023-01-08,20767.7
